word,meaning
พจนานุกรม,{'คำนาม': ['สิ่งตีพิมพ์ โดยทั่วไปอยู่ในรูปหนังสือ ซึ่งบรรจุรายการของคำและความหมายของคำ (ปกติเรียงลำดับตามตัวอักษร) นอกจากนี้อาจบรรจุสารสนเทศเกี่ยวกับที่มาของคำ การใช้ คำแปล ตลอดจนสารสนเทศอื่น ๆ ที่เกี่ยวข้องกับคำนั้น ๆ พจนานุกรมบางฉบับจะบรรจุคำและ/หรือให้คำแปลมากกว่าหนึ่งภาษา']}
เดิน,"{'คำกริยา': ['ยกเท้าก้าวไป', 'เคลื่อนไปด้วยกำลังต่าง ๆ']}"
คุกกี้,"{'คำนาม': ['ชื่อขนมชนิดหนึ่งจำพวกขนมเค้ก แต่ทำเป็นชิ้นเล็ก ๆ แบน ๆ แล้วอบให้กรอบ', 'โปรแกรมคอมพิวเตอร์ใช้ในทางอินเทอร์เน็ตสำหรับเก็บข้อมูลของผู้ใช้งาน']}"
ของเล่น,{'คำนาม': ['ของสำหรับเด็กเล่นเพื่อให้สนุกหรือเพลิดเพลิน']}
บ้าน,"{'คำนาม': ['ที่อยู่อาศัย', 'สิ่งปลูกสร้างสำหรับเป็นที่อยู่อาศัย', 'บริเวณที่เรือนตั้งอยู่', 'หมู่บ้าน', 'ถิ่นที่มีมนุษย์อยู่', 'โรงเรือนหรือสิ่งปลูกสร้างสำหรับใช้เป็นที่อยู่อาศัย ซึ่งมีเจ้าบ้านครอบครองและหมายความรวมถึงแพ หรือเรือซึ่งจอดเป็นประจำและใช้เป็นที่อยู่ประจำ หรือสถานที่ หรือยานพาหนะอื่นซึ่งใช้เป็นที่อยู่อาศัยประจำได้ด้วย', 'บ้าน'], 'คำคุณศัพท์': ['ที่มีอยู่ตามบ้าน เช่น หนูบ้าน คู่กับ หนูนา หรือที่เลี้ยงไว้ เช่น หมูบ้าน คู่กับ หมูป่า']}"
เพดาน,"{'คำนาม': ['ส่วนที่สูงสุดของห้องถึงหลังคา', 'ส่วนบนของอุ้งปาก', 'ชื่อหนึ่งของดาวฤกษ์อุตรผลคุนี มี 2 ดวง']}"
หลังคา,{'คำนาม': ['ส่วนเบื้องบนของเรือนเป็นต้น สำหรับบังแดดและฝน']}
กล้องถ่ายรูป,"{'คำนาม': ['เครื่องมือที่ประกอบด้วยเลนส์และฟิล์มสำหรับบันทึกภาพ, ปัจจุบันมีชนิดที่ไม่ต้องใช้ฟิล์มด้วย']}"
พื้น,"{'คำนาม': ['ส่วนราบด้านหน้าของสิ่งที่เป็นผืนเป็นแผ่น', 'แถบ, แถว, ถิ่น']}"
ห้อง,"{'คำนาม': ['ส่วนของเรือนหรือตึกเป็นต้นที่มีฝากั้นเป็นตอน ๆ', 'ตอน', 'ชั้น']}"
